feature,importance
check_tier-1_cooling_system_temp_apc-rc-10_unit_air_temp_t-23,0.009507271
check_tier-1_cooling_system_temp_apc-rc-13_unit_air_temp_t-41,0.009499306
check_tier-1_cooling_system_cool_output_apc-rc-10_cool_output_t-22,0.009490397
check_tier-1_cooling_system_temp_apc-rc-27_return_air_temp_t-2,0.009476726
check_tier-1_cooling_system_cool_output_apc-rc-16_cool_output_t-52,0.009467489
check_tier-1_cooling_system_cool_output_apc-rc-13_cool_output_t-51,0.009404375
check_tier-1_cooling_system_cool_output_apc-rc-13_cool_output_t-21,0.009393363
check_tier-1_cooling_system_cool_output_apc-rc-13_cool_output_t-50,0.009353658
check_tier-1_cooling_system_temp_apc-rc-10_unit_air_temp_t-40,0.009308999
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-16_fluid_temp_t-54,0.009244515
check_tier-1_cooling_system_cool_output_apc-rc-2_cool_output_t-5,0.009242565
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-13_fluid_temp_t-16,0.009242129
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-5_fluid_temp_t-40,0.009217275
check_tier-1_cooling_system_temp_apc-rc-24_unit_air_temp_t-27,0.009137672
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-13_fluid_temp_t-34,0.009127507
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-16_fluid_temp_t-30,0.009104335
check_tier-1_cooling_system_temp_apc-rc-10_return_air_temp_t-14,0.009046598
check_tier-1_cooling_system_temp_apc-rc-5_unit_air_temp_t-32,0.008999424
check_tier-1_cooling_system_temp_apc-rc-10_return_air_temp_t-60,0.0089802025
check_tier-1_cooling_system_temp_apc-rc-2_unit_air_temp_t-30,0.008871109
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-27_fluid_temp_t-59,0.008868909
check_tier-1_cooling_system_cool_output_apc-rc-16_cool_output_t-45,0.008810451
check_tier-1_cooling_system_temp_apc-rc-5_unit_air_temp_t-52,0.008753516
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-13_fluid_temp_t-44,0.008740939
check_tier-1_cooling_system_temp_apc-rc-13_unit_air_temp_t-23,0.008686918
check_tier-1_cooling_system_cool_output_apc-rc-13_cool_output_t-33,0.008679359
check_tier-1_cooling_system_cool_output_apc-rc-19_cool_output_t-27,0.0086758295
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-16_fluid_temp_t-40,0.008607115
check_tier-1_cooling_system_temp_apc-rc-2_return_air_temp_t-48,0.008571551
check_tier-1_cooling_system_cool_output_apc-rc-16_cool_output_t-42,0.008564833
check_tier-1_cooling_system_cool_output_apc-rc-10_cool_output_t-27,0.008535996
check_tier-1_cooling_system_temp_apc-rc-24_unit_air_temp_t-29,0.008527464
check_tier-1_cooling_system_cool_output_apc-rc-2_cool_output_t-26,0.008500365
check_tier-1_cooling_system_cool_output_apc-rc-13_cool_output_t-3,0.008426721
check_tier-1_cooling_system_cool_output_apc-rc-10_cool_output_t-52,0.008349037
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-5_fluid_temp_t-50,0.008298148
check_tier-1_cooling_system_cool_output_apc-rc-16_cool_output_t-44,0.00829564
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-24_fluid_temp_t-38,0.008282562
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-19_fluid_temp_t-38,0.008268761
dow_sin_t-31,0.008267161
